advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
1.4901161e-08,0.9999994,0.1,73,0.0001,3.4912939071655273,0.6260255575180054,15.15318536096149,0.995328,1.7926632e-14,0.0,1.7601973,0.2021391,0.22617994,0.025801044,0.8007047,0.31488323,0.5517578,0.8479005,0.26799393
0.0,0.9999994,0.1,74,0.0001,3.7045488357543945,0.7232279181480408,16.078770988517338,0.995264,7.555371e-15,0.0,1.7574404,0.05372534,0.07206351,0.020095613,0.71080804,0.36000913,0.5488281,0.7109746,0.3424427
-1.4901161e-08,0.99999946,0.1,75,0.0001,17.49085283279419,0.7582206428050995,75.91515986455812,0.9952,1.723708e-14,0.0,1.715647,-0.017673,0.003789913,0.02317856,0.6302725,0.43445408,0.4658203,0.65526515,0.38335097
-2.9802322e-08,0.9999994,0.1,76,0.0001,3.8344857692718506,0.8296177238225937,16.64273337357574,0.995136,1.1738874e-14,0.0,1.5725598,0.052518643,0.06704286,0.01609677,0.6177827,0.46641153,0.46972656,0.5675584,0.4160422
-1.4901161e-08,0.9999997,0.1,77,0.0001,3.7790920734405518,0.6453103423118591,16.402309346530174,0.995072,1.2059798e-14,0.0,1.7807193,-0.018524144,0.012564961,0.032869823,0.6243067,0.45522994,0.40722656,0.6099268,0.4278256
0.0,0.9999995,0.1,78,0.0001,3.7617924213409424,0.6646090149879456,16.32722405095895,0.995008,1.3748551e-14,0.0,1.6732949,-0.106766686,-0.07755366,0.03088632,0.71047413,0.3940241,0.4892578,0.73223054,0.3543403
0.0,0.9999995,0.1,79,0.0001,3.7684617042541504,0.6786037981510162,16.35617059138086,0.994944,1.4942908e-14,0.0,1.7191548,-0.028806232,-0.00950286,0.021022527,0.818436,0.40887287,0.61035156,0.8399079,0.3605553
3.7252903e-09,0.9999996,0.1,80,0.0001,3.7498292922973633,0.7572841048240662,16.275300747818417,0.99488,9.073471e-15,0.0,1.543449,0.13220114,0.16308013,0.03242244,0.7338731,0.44436496,0.5361328,0.80659556,0.41867194
2.2351742e-08,0.9999995,0.1,81,0.0001,3.5914146900177,0.727594256401062,15.58773736986849,0.994816,1.5256893e-14,0.0,1.5458554,0.031159118,0.053250022,0.02363676,0.70317245,0.4167539,0.53808594,0.70677435,0.40278018
0.0,0.9999996,0.1,82,0.0001,3.72099232673645,0.7729456722736359,16.150140307015842,0.994752,1.6185837e-14,0.0,1.7101171,0.072105885,0.096820906,0.02642514,0.63645494,0.47573856,0.39941406,0.64989424,0.4588382
